stop_id,stop_name,stop_lon,stop_lat,location_type,location_id,location_lon,location_lat,location_place,location_name,location_products,distance
259312,"Pforzheimer Straße",8.55056,49.47329,STATION,511072,8550539,49473365,Mannheim,"Seckenheim Pforzheimer Straße",TRAM,8
249505,Mallaustraße,8.509996,49.4542,STATION,508501,8509872,49454263,Mannheim,"Neckarau Mallaustraße",BUS,11
249506,Mallaustraße,8.509708,49.454327,STATION,508501,8509872,49454263,Mannheim,"Neckarau Mallaustraße",BUS,14
217905,Ostringplatz,8.389953,49.532696,STATION,518649,8389974,49532613,"Ludwigshafen am Rhein","Edigheim Ostringplatz",BUS,9
217906,Ostringplatz,8.389915,49.532613,STATION,518649,8389974,49532613,"Ludwigshafen am Rhein","Edigheim Ostringplatz",BUS,4
217909,Ostringplatz,8.389399,49.532756,STATION,509476,8389291,49532766,"Ludwigshafen am Rhein","Edigheim Ostringplatz",BUS,8
217907,Ostringplatz,8.389395,49.533777,STATION,518650,8389327,49533737,"Ludwigshafen am Rhein","Edigheim Ostringplatz",BUS,7
217908,Ostringplatz,8.390892,49.532837,STATION,509475,8390936,49532865,"Ludwigshafen am Rhein","Edigheim Ostringplatz",BUS,4
202406,"Edigheim Kirche",8.392655,49.52971,STATION,506034,8392482,49529871,"Ludwigshafen am Rhein","Edigheim Kirche",BUS,22
259301,"Pforzheimer Straße",8.549691,49.473538,STATION,509721,8549712,49473509,Mannheim,"Seckenheim Pforzheimer Straße",TRAM,4
203736,Rottstückerweg,8.41625,49.50254,STATION,518109,8416196,49502742,"Ludwigshafen am Rhein","Friesenheim Rottstückerweg",TRAM;BUS,23
202405,"Edigheim Kirche",8.392126,49.530136,STATION,506034,8392482,49529871,"Ludwigshafen am Rhein","Edigheim Kirche",BUS,39
263805,Wallstadtschule,8.548777,49.497607,STATION,510380,8548804,49497609,Mannheim,"Wallstadt Wallstadtschule",BUS,2
114901,Rudolf-Diesel-Str.,8.677795,49.395987,STATION,506952,8677836,49396004,Heidelberg,Rudolf-Diesel-Straße,TRAM;BUS,4
114902,Rudolf-Diesel-Str.,8.67906,49.39688,STATION,509355,8679031,49396849,Heidelberg,Rudolf-Diesel-Straße,TRAM;BUS,4
114903,Rudolf-Diesel-Str.,8.67783,49.39601,STATION,506952,8677836,49396004,Heidelberg,Rudolf-Diesel-Straße,TRAM;BUS,1
131002,"Grüner Baum",8.751988,49.437555,STATION,510795,8752069,49437615,Heidelberg,"Ziegelhausen Grüner Baum",BUS,9
114904,Rudolf-Diesel-Str.,8.67908,49.3968,STATION,509355,8679031,49396849,Heidelberg,Rudolf-Diesel-Straße,TRAM;BUS,7
131001,"Grüner Baum",8.75206,49.437754,STATION,510795,8752069,49437615,Heidelberg,"Ziegelhausen Grüner Baum",BUS,15
114906,Rudolf-Diesel-Str.,8.67719,49.39612,STATION,506952,8677836,49396004,Heidelberg,Rudolf-Diesel-Straße,TRAM;BUS,49
269105,"Wallstadt Friedhof",8.55268,49.500523,STATION,519350,8552733,49500476,Mannheim,"Wallstadt Friedhof",BUS,6
298901,Eichendorffstr.,8.803224,49.385009,STATION,508554,8803244,49385019,Neckargemünd,Eichendorffstraße,BUS,2
212205,"Maudach Ortseingang",8.389793,49.455174,STATION,508228,8389498,49455189,"Ludwigshafen am Rhein","Maudach Ortseingang",BUS,21
212206,"Maudach Ortseingang",8.38927,49.4551,STATION,508228,8389498,49455189,"Ludwigshafen am Rhein","Maudach Ortseingang",BUS,19
237501,"Käfertaler Wald",8.50923,49.52949,STATION,507629,8509423,49529583,Mannheim,"Käfertal Käfertaler Wald",TRAM;BUS,17
554707,"Käfertal Bahnhof",8.51818,49.50982,STATION,518232,8518286,49509771,Mannheim,"Käfertal Bahnhof (RNV)",TRAM;BUS,9
237505,"Käfertaler Wald",8.50945,49.5295,STATION,507629,8509423,49529583,Mannheim,"Käfertal Käfertaler Wald",TRAM;BUS,9
251812,Hans-Thoma-Straße,8.524093,49.47476,STATION,508705,8524228,49474992,Mannheim,"Neuostheim Hans-Thoma-Straße",TRAM;BUS,28
554701,"Käfertal Bahnhof",8.518189,49.50963,STATION,518232,8518286,49509771,Mannheim,"Käfertal Bahnhof (RNV)",TRAM;BUS,17
124702,"Im Buschgewann",8.648679,49.397416,STATION,509021,8648594,49397478,Heidelberg,"Pfaffengrund Im Buschgewann",BUS;ON_DEMAND,9
554702,"Käfertal Bahnhof",8.518556,49.510136,STATION,518232,8518286,49509771,Mannheim,"Käfertal Bahnhof (RNV)",TRAM;BUS,45
385312,"Viernheim Ost",8.589774,49.537517,STATION,510171,8589472,49537503,,"Viernheim Ost",TRAM,22
385311,"Viernheim Ost",8.589402,49.537459,STATION,510171,8589472,49537503,,"Viernheim Ost",TRAM,7
247305,"Verl. Jungbuschstr.",8.452177,49.494661,STATION,508192,8452278,49494615,Mannheim,"Verlängerte Jungbuschstraße",BUS,9
62605,"Neckarh. Rathaus",8.60259,49.46416,STATION,508578,8602875,49463738,Edingen-Neckarhausen,"Neckarhausen Rathaus",BUS,51
245128,Paradeplatz,8.465984,49.48787,STATION,518359,8465753,49487208,Mannheim,Paradeplatz,TRAM;BUS,76
251806,Hans-Thoma-Straße,8.524129,49.474812,STATION,508705,8524228,49474992,Mannheim,"Neuostheim Hans-Thoma-Straße",TRAM;BUS,21
245125,Paradeplatz,8.46638,49.48784,STATION,518358,8466841,49487532,Mannheim,Paradeplatz,TRAM;BUS,48
251802,Hans-Thoma-Straße,8.524139,49.474742,STATION,508705,8524228,49474992,Mannheim,"Neuostheim Hans-Thoma-Straße",TRAM;BUS,29
